,D1_place,D2_place,D3_place,D1_goal,D2_goal,D3_goal,D1_source,D2_source,D3_source,I[U;W],I[M;W],gamma_fit,epsilon,gNID,Language,Area,LangCategory,systematicity
21202,8,7,6,2,1,4,0,5,3,0.6331416460097499,1.7530612423846796,100.0,-1.3500311979441904e-15,2.220446049250313e-16,Korean (Koreanic),asia,real,2
21249,5,6,3,2,1,0,7,8,4,0.6331416460097496,1.7530612423846799,99.6932552694414,-1.1403663910297054e-15,0.0,"[AM-44]  Trio (Cariban, Guianan)",americas,real,2
21241,3,1,8,7,2,5,4,6,0,0.6331416460097494,1.7530612423846796,99.3874514621801,-9.29398573862846e-16,0.0,[AM-50]  Yuracaré (Yuracaré) ,americas,real,2
21149,0,7,5,3,4,6,2,8,1,0.6331416460097494,1.7530612423846799,99.3874514621801,-9.29398573862846e-16,0.0,Catalan,europe,real,2
21212,6,3,5,1,8,4,0,7,2,0.6331416460097494,1.7530612423846794,99.3874514621801,-9.29398573862846e-16,3.3306690738754696e-16,"Khasi (Austroasiatic, Khasi-Palaung)",asia,real,2
21160,2,6,0,5,3,4,7,8,1,0.6331416460097492,1.7530612423846799,98.77865508147205,-7.193282143536462e-16,-2.220446049250313e-16,"Macedonian (Indo-European, Slavic)",europe,real,2
21328,3,8,5,6,0,1,7,4,2,0.6331416460097492,1.7530612423846796,98.77865508147205,-7.193282143536462e-16,2.220446049250313e-16,"[OC-50]  Yuwaalaraay (Pama-Nyungan, Wiradhuric)",oceania,real,2
21325,1,3,8,6,4,7,5,2,0,0.6331416460097492,1.7530612423846794,98.77865508147205,-7.193282143536462e-16,2.220446049250313e-16,"[OC-19]  Komnzo (Morehead-Wasur, Eastern Tonda)",oceania,real,2
21324,8,6,2,7,5,1,3,4,0,0.6331416460097492,1.7530612423846796,98.77865508147205,-7.193282143536462e-16,2.220446049250313e-16,"[OC-5]  Bardi (Nyulnyulan, Western) ",oceania,real,2
21257,0,8,3,1,2,5,7,6,4,0.6331416460097492,1.7530612423846799,98.77865508147205,-7.193282143536462e-16,2.220446049250313e-16,"[AM-15]  Garifuna (Arawakan, Caribbean Arawakan) ",americas,real,2
21332,0,8,3,5,6,1,7,4,2,0.6331416460097492,1.7530612423846796,98.77865508147205,-7.193282143536462e-16,2.220446049250313e-16,[OC-45]  Wardaman (Yangmanic),oceania,real,2
21193,2,0,8,4,1,3,6,5,7,0.6331416460097492,1.7530612423846794,98.77865508147205,-7.193282143536462e-16,2.220446049250313e-16,"Mundari (Austroasiatic, Mundaic)",asia,real,2
21174,7,8,1,5,2,3,0,4,6,0.6331416460097492,1.7530612423846796,98.77865508147205,-7.193282143536462e-16,2.220446049250313e-16,Basque,europe,real,2
21336,6,7,2,1,4,8,5,3,0,0.633141646009749,1.7530612423846794,98.77865508147205,-5.035297500475524e-16,0.0,"[OC-49]  Yindjibarndi  (Pama-Nyungan, Pilbara)",oceania,real,2
21211,3,2,8,1,4,5,7,0,6,0.633141646009749,1.7530612423846796,98.77865508147205,-5.035297500475524e-16,0.0,Yugh (Yeniseian),asia,real,2
21250,1,4,3,7,2,8,6,0,5,0.633141646009749,1.7530612423846794,98.77865508147205,-5.035297500475524e-16,2.220446049250313e-16,"[AM-20]  Klamath (Penutian, Klamath-Modoc) ",americas,real,2
21252,6,3,1,5,2,8,7,4,0,0.633141646009749,1.7530612423846794,98.77865508147205,-5.035297500475524e-16,-2.220446049250313e-16,"[AM-24]  Lakota (Siouan, Core Siouan)",americas,real,2
21200,3,0,2,4,1,7,8,6,5,0.633141646009749,1.7530612423846796,98.77865508147205,-5.035297500475524e-16,-2.220446049250313e-16,"Yukaghir, Kolyma (Yukaghir)",asia,real,2
21157,7,5,4,0,8,1,2,3,6,0.633141646009749,1.7530612423846796,98.77865508147205,-5.035297500475524e-16,2.220446049250313e-16,Turkish (Turkic),europe,real,2
21239,2,4,8,0,6,5,7,3,1,0.633141646009749,1.7530612423846794,98.77865508147205,-5.035297500475524e-16,2.220446049250313e-16,[AM-26]  Mapudungun (Araucanian) ,americas,real,2
21255,6,5,1,2,0,4,8,7,3,0.633141646009749,1.7530612423846794,98.77865508147205,-5.035297500475524e-16,-2.220446049250313e-16,"[AM-18]  Inuktitut, Western Canadian (Eskimo-Aleut, Eskimo) ",americas,real,2
